sample_id,prompt,target,curriculum_score,pcrf_weight,criticality_weight,combined_weight,sampling_bucket
193,Train 193: The capital of France is,Paris,0.007275,0.048886,1.0,0.000356,HIGH_PRIORITY
185,Train 185: The capital of France is,Paris,0.007242,0.048886,1.0,0.000354,HIGH_PRIORITY
169,Train 169: The capital of France is,Paris,0.007220,0.048886,1.0,0.000353,HIGH_PRIORITY
25,Train 25: The capital of France is,Paris,0.007205,0.048886,1.0,0.000352,HIGH_PRIORITY
129,Train 129: The capital of France is,Paris,0.007193,0.048886,1.0,0.000352,HIGH_PRIORITY
145,Train 145: The capital of France is,Paris,0.007184,0.048886,1.0,0.000351,HIGH_PRIORITY
49,Train 49: The capital of France is,Paris,0.007171,0.048886,1.0,0.000351,HIGH_PRIORITY
33,Train 33: The capital of France is,Paris,0.007139,0.048886,1.0,0.000349,HIGH_PRIORITY
41,Train 41: The capital of France is,Paris,0.007136,0.048886,1.5,0.000523,HIGH_PRIORITY
113,Train 113: The capital of France is,Paris,0.007118,0.048886,1.0,0.000348,HIGH_PRIORITY
81,Train 81: The capital of France is,Paris,0.007118,0.048886,1.5,0.000522,HIGH_PRIORITY
161,Train 161: The capital of France is,Paris,0.007116,0.048886,1.5,0.000522,HIGH_PRIORITY
9,Train 9: The capital of France is,Paris,0.007100,0.048886,1.0,0.000347,HIGH_PRIORITY
177,Train 177: The capital of France is,Paris,0.007085,0.048886,1.0,0.000346,HIGH_PRIORITY
65,Train 65: The capital of France is,Paris,0.007066,0.048886,1.0,0.000345,HIGH_PRIORITY
121,Train 121: The capital of France is,Paris,0.007063,0.048886,1.5,0.000518,HIGH_PRIORITY
153,Train 153: The capital of France is,Paris,0.007054,0.048886,1.0,0.000345,HIGH_PRIORITY
105,Train 105: The capital of France is,Paris,0.007053,0.048886,1.0,0.000345,HIGH_PRIORITY
17,Train 17: The capital of France is,Paris,0.007040,0.048886,1.0,0.000344,HIGH_PRIORITY
97,Train 97: The capital of France is,Paris,0.007002,0.048886,1.0,0.000342,HIGH_PRIORITY
137,Train 137: The capital of France is,Paris,0.007000,0.048886,1.0,0.000342,HIGH_PRIORITY
57,Train 57: The capital of France is,Paris,0.007000,0.048886,1.0,0.000342,HIGH_PRIORITY
89,Train 89: The capital of France is,Paris,0.006973,0.048886,1.0,0.000341,HIGH_PRIORITY
73,Train 73: The capital of France is,Paris,0.006955,0.048886,1.0,0.000340,HIGH_PRIORITY
1,Train 1: The capital of France is,Paris,0.006814,0.048886,1.5,0.000500,HIGH_PRIORITY
150,Train 150: The DNS protocol primarily uses,UDP,0.006577,0.048886,1.0,0.000322,HIGH_PRIORITY
110,Train 110: The DNS protocol primarily uses,UDP,0.006494,0.048886,1.0,0.000317,HIGH_PRIORITY
