id,prompt,target,priority_score
45,Extract the user role (admin/editor/viewer) from this permission string: 'Authorized to save draft adjustments but lacks user admin panel rights' as JSON: { 'role':,editor,23.756098349222036
44,Extract the user role (admin/editor/viewer) from this permission string: 'Has root level execution privileges and can delete files globally' as JSON: { 'role':,admin,23.552307103088587
42,Extract the user role (admin/editor/viewer) from this permission string: 'Can modify files and edit existing document drafts' as JSON: { 'role':,editor,23.519605447022766
50,Extract the user role (admin/editor/viewer) from this permission string: 'Authorized to adjust user access directories and assign privileges' as JSON: { 'role':,admin,23.48265278303463
53,Extract the user role (admin/editor/viewer) from this permission string: 'Has complete system owner role across all domain cabinets' as JSON: { 'role':,admin,23.384466942003527
51,Extract the user role (admin/editor/viewer) from this permission string: 'Allowed to edit configuration templates and update baseline files' as JSON: { 'role':,editor,23.143401614209765
59,Extract the user role (admin/editor/viewer) from this permission string: 'Has absolute root credentials on target cloud containers' as JSON: { 'role':,admin,23.098622948319765
47,Extract the user role (admin/editor/viewer) from this permission string: 'Can create billing credentials and modify system configurations' as JSON: { 'role':,admin,23.017181931177785
41,"Extract the user role (admin/editor/viewer) from this permission string: 'Can assign groups, modify profiles, and manage system administrators' as JSON: { 'role':",admin,22.859987952860127
48,Extract the user role (admin/editor/viewer) from this permission string: 'Can submit content reviews and update documentation files' as JSON: { 'role':,editor,22.77541155816764
57,Extract the user role (admin/editor/viewer) from this permission string: 'Allowed to adjust metadata keywords on uploaded videos' as JSON: { 'role':,editor,22.71878191165518
60,Extract the user role (admin/editor/viewer) from this permission string: 'Can write updates to wiki documentation articles' as JSON: { 'role':,editor,22.50277264665427
56,Extract the user role (admin/editor/viewer) from this permission string: 'Can establish database clusters and adjust primary host configs' as JSON: { 'role':,admin,22.444753646333055
54,Extract the user role (admin/editor/viewer) from this permission string: 'Can write new blog articles and modify published copy' as JSON: { 'role':,editor,22.317542752673337
43,Extract the user role (admin/editor/viewer) from this permission string: 'Can read audit logs and browse directory indices but cannot write changes' as JSON: { 'role':,viewer,22.252249344648956
94,To accept the negative consequences of your previous incorrect actions is to face the,music,22.2187431075715
61,Extract the transaction status (approved/declined) from this gateway log: 'Stripe gateway logs: payment processed successfully for client 1012' as JSON: { 'status':,approved,21.868113753151633
58,Extract the user role (admin/editor/viewer) from this permission string: 'Can download static file attachment assets' as JSON: { 'role':,viewer,21.76329426609931
46,Extract the user role (admin/editor/viewer) from this permission string: 'Can browse metric dashboard views but lacks edit rights' as JSON: { 'role':,viewer,21.64136499057527
52,Extract the user role (admin/editor/viewer) from this permission string: 'Can view transaction history records but cannot trigger refunds' as JSON: { 'role':,viewer,21.56463533440866
55,Extract the user role (admin/editor/viewer) from this permission string: 'Can inspect user profile details but cannot alter names' as JSON: { 'role':,viewer,21.555245791056343
49,Extract the user role (admin/editor/viewer) from this permission string: 'Can observe network throughput metrics but cannot change port bindings' as JSON: { 'role':,viewer,21.215163083608623
77,"Extract the transaction status (approved/declined) from this gateway log: 'Adyen gateway logs: funds captured, invoice archived' as JSON: { 'status':",approved,20.39650397792892
68,"Extract the transaction status (approved/declined) from this gateway log: 'PayPal gateway logs: payment authorized, pending capture' as JSON: { 'status':",approved,20.124640616153574
79,Extract the transaction status (approved/declined) from this gateway log: 'Braintree gateway logs: merchant manual override applied' as JSON: { 'status':,approved,20.008337186723796
73,Extract the transaction status (approved/declined) from this gateway log: 'PayPal gateway logs: payment completed successfully' as JSON: { 'status':,approved,19.951448332411196
64,"Extract the transaction status (approved/declined) from this gateway log: 'Braintree gateway logs: auth success, funds capture complete' as JSON: { 'status':",approved,19.91961346722905
75,"Extract the transaction status (approved/declined) from this gateway log: 'Authorize.Net gateway logs: token validated, clearance complete' as JSON: { 'status':",approved,19.71549043511142
66,"Extract the transaction status (approved/declined) from this gateway log: 'Stripe gateway logs: verification code checked, order complete' as JSON: { 'status':",approved,19.477380076239267
70,Extract the transaction status (approved/declined) from this gateway log: 'Authorize.Net gateway logs: digital wallet authenticated' as JSON: { 'status':,approved,19.113641028119456
36,Extract the API action (get/post/delete) from this routing rule: 'Purge deprecated session metadata blocks' as JSON: { 'action':,delete,17.891590301885532
26,Extract the API action (get/post/delete) from this routing rule: 'Erase configuration baseline revision logs' as JSON: { 'action':,delete,17.683419480760897
39,Extract the API action (get/post/delete) from this routing rule: 'Erase staging database cluster indexes' as JSON: { 'action':,delete,17.57677309713318
29,Extract the API action (get/post/delete) from this routing rule: 'Erase temporary local billing directory' as JSON: { 'action':,delete,17.307081896723023
99,"To initiate a highly difficult, tense, or awkward discussion with colleagues is to break the",ice,16.039976707499747
22,Extract the API action (get/post/delete) from this routing rule: 'Delete inactive user session records from Redis cache' as JSON: { 'action':,delete,15.841688961378896
32,Extract the API action (get/post/delete) from this routing rule: 'Delete orphaned docker volumes from host server' as JSON: { 'action':,delete,15.775847069649418
28,Extract the API action (get/post/delete) from this routing rule: 'Provision a new security credential record' as JSON: { 'action':,post,15.297755908419294
25,Extract the API action (get/post/delete) from this routing rule: 'Register new mobile gateway configuration' as JSON: { 'action':,post,15.029224922122566
23,Extract the API action (get/post/delete) from this routing rule: 'Create a new client verification token' as JSON: { 'action':,post,15.025170912128356
87,"An entirely random, highly surprising, and completely unexpected event is out of the",blue,14.840862761084724
35,Extract the API action (get/post/delete) from this routing rule: 'Push latest system baseline profile configuration' as JSON: { 'action':,post,14.823522796086474
33,Extract the API action (get/post/delete) from this routing rule: 'Submit client access registration block' as JSON: { 'action':,post,14.756851439396543
38,Extract the API action (get/post/delete) from this routing rule: 'Publish new API gateway endpoint route' as JSON: { 'action':,post,14.620174276875664
85,"Feeling entirely awkward, uncomfortable, and physically out of place is like a fish out of",water,13.931950609889435
96,To completely cease working on a development pipeline for the evening is to call it a,day,13.919510709145058
92,Executing an operational workflow that is incredibly straightforward is a piece of,cake,13.114698484148898
83,To accidentally reveal highly confidential organization blueprints is to let the cat out of the,bag,12.851744612880008
34,Extract the API action (get/post/delete) from this routing rule: 'Load active transaction audit logs' as JSON: { 'action':,get,12.787968088902055
31,Extract the API action (get/post/delete) from this routing rule: 'Retrieve active cluster heartbeat telemetry' as JSON: { 'action':,get,12.648788015863012
21,Extract the API action (get/post/delete) from this routing rule: 'Fetch client profile metadata from PostgreSQL' as JSON: { 'action':,get,12.584331330617488
30,Extract the API action (get/post/delete) from this routing rule: 'Fetch compliance standard checklist' as JSON: { 'action':,get,12.310638998604347
81,To accomplish multiple milestones at the exact same moment is to kill two birds with one,stone,12.235872063900404
95,"Feeling mildly sick, fatigued, or physically under the weather is to be under the",weather,12.191625292416294
40,Extract the API action (get/post/delete) from this routing rule: 'Load balance incoming connection metrics list' as JSON: { 'action':,get,12.180332126979739
27,Extract the API action (get/post/delete) from this routing rule: 'List active container workspace segments' as JSON: { 'action':,get,12.041416445896841
24,Extract the API action (get/post/delete) from this routing rule: 'Retrieve transaction ledger history array' as JSON: { 'action':,get,11.90596274419263
100,"Adding angry, volatile statements to an ongoing administrative dispute is adding fuel to the",fire,11.868487517279409
82,"To avoid placing all your financial capital in a single volatile asset, don't put all your eggs in one",basket,11.86678504044808
37,Extract the API action (get/post/delete) from this routing rule: 'Request latest network interface statuses' as JSON: { 'action':,get,11.838839329099253
5,"JSON payload: { 'event': 'IAMPolicyModified', 'policy': 'AdministratorAccess', 'mfa_verified': false }. Risk triage (low/medium/high):",high,11.631335190436578
15,"JSON payload: { 'event': 'IAMPolicyModified', 'policy': 'BillingAccess', 'mfa_verified': false }. Risk triage (low/medium/high):",medium,11.516859694413398
86,"An unpredictable, incredibly dynamic, and highly energetic person is described as a live",wire,11.32806724842732
91,To accidentally expose a highly guarded organizational secret is to spill the,beans,11.152506842222854
