sample_id,prompt,target,curriculum_score,pcrf_weight,criticality_weight,combined_weight,sampling_bucket
79,The reserved programming keyword used to initiate routine blocks in Python is,def,0.028593,0.047226,5.0,0.006752,HIGH_PRIORITY
43,The element with atomic number 6 is,Carbon,0.028467,0.047226,1.0,0.001344,HIGH_PRIORITY
78,The reserved programming keyword used to declare structural blueprints in Python is,class,0.026198,0.047226,5.0,0.006186,HIGH_PRIORITY
66,The digital counting framework representing information with 0 and 1 is,Binary,0.025900,0.047226,5.0,0.006116,HIGH_PRIORITY
63,"To store keyed associative records with rapid O(1) lookup, developers choose a",Map,0.023270,0.047226,1.0,0.001099,HIGH_PRIORITY
74,The relational database directive used to fetch selected tuples from table arrays is,SELECT,0.022864,0.047226,5.0,0.005399,HIGH_PRIORITY
58,The atmospheric gas primarily responsible for global warming is,Carbon,0.022402,0.047226,1.0,0.001058,HIGH_PRIORITY
56,A liquid solution with a pH rating significantly higher than 7 is a,Base,0.022315,0.047226,1.0,0.001054,HIGH_PRIORITY
60,Light waves travel significantly faster than mechanical propagation of,Sound,0.021396,0.047226,1.0,0.001010,HIGH_PRIORITY
77,"In balanced search trees, a terminal node lacking downstream progeny is a",Leaf,0.020440,0.047226,1.0,0.000965,HIGH_PRIORITY
67,The primary volatile memory utilized for rapid workspace computation is,RAM,0.020432,0.047226,5.0,0.004825,HIGH_PRIORITY
71,The network transmission protocol used to serve encrypted web content is,HTTPS,0.019764,0.047226,1.0,0.000933,HIGH_PRIORITY
53,The physical force driving planetary orbits is,Gravity,0.019573,0.047226,1.0,0.000924,HIGH_PRIORITY
75,An auxiliary database lookup catalog built to accelerate query evaluation is an,Index,0.019315,0.047226,1.0,0.000912,HIGH_PRIORITY
76,The fundamental internet routing system standardizing packet layout is the,IP,0.019302,0.047226,5.0,0.004558,HIGH_PRIORITY
59,The core organ driving blood circulation in mammalian systems is the,Heart,0.018595,0.047226,3.0,0.002635,HIGH_PRIORITY
70,"In class structures, an operational memory instantiation is called an",Object,0.018345,0.047226,5.0,0.004332,HIGH_PRIORITY
37,The official capital city of Switzerland is,Bern,0.017047,0.047226,5.0,0.004025,HIGH_PRIORITY
57,The basic physical container of all organic life is the,Cell,0.017003,0.047226,1.0,0.000803,HIGH_PRIORITY
68,The foundational processing unit executing computing instructions is the,CPU,0.016251,0.047226,5.0,0.003837,HIGH_PRIORITY
61,"In operating systems, a scheduled execution thread resides within a",Process,0.015723,0.047226,5.0,0.003713,MID_PRIORITY
72,A software routine that invokes itself to solve smaller sub-problems is,Recursion,0.015640,0.047226,1.0,0.000739,MID_PRIORITY
15,The official capital city of Mexico is,Mexico,0.014754,0.047226,1.0,0.000697,MID_PRIORITY
12,The official capital city of England is,London,0.014306,0.047226,4.0,0.002702,MID_PRIORITY
1,The official capital city of France is,Paris,0.014173,0.047226,1.0,0.000669,MID_PRIORITY
69,The technical engineering pipeline of locating and isolating software bugs is,Debugging,0.013696,0.047226,1.0,0.000647,MID_PRIORITY
42,The element with atomic number 2 is,Helium,0.013655,0.047226,1.0,0.000645,MID_PRIORITY
62,"In deep learning, structural parameters are mathematically adjusted via",Descent,0.013450,0.047226,1.0,0.000635,MID_PRIORITY
2,The official capital city of Germany is,Berlin,0.013343,0.047226,1.0,0.000630,MID_PRIORITY
