id,prompt,target,priority_score
124,Extract the user role (admin/editor/viewer) from this permission string: 'Has root level execution privileges and can drop databases globally' as JSON: { 'role':,admin,23.880343509551217
45,Extract the user role (admin/editor/viewer) from this permission string: 'Authorized to save draft adjustments but lacks user admin panel rights' as JSON: { 'role':,editor,23.184399114285505
125,Extract the user role (admin/editor/viewer) from this permission string: 'Authorized to save update parameters but lacks security group rights' as JSON: { 'role':,editor,23.02926584794078
44,Extract the user role (admin/editor/viewer) from this permission string: 'Has root level execution privileges and can delete files globally' as JSON: { 'role':,admin,22.985512179364637
130,Extract the user role (admin/editor/viewer) from this permission string: 'Authorized to manage role adjustments and drop schemas' as JSON: { 'role':,admin,22.959075816154172
42,Extract the user role (admin/editor/viewer) from this permission string: 'Can modify files and edit existing document drafts' as JSON: { 'role':,editor,22.953597500666863
50,Extract the user role (admin/editor/viewer) from this permission string: 'Authorized to adjust user access directories and assign privileges' as JSON: { 'role':,admin,22.91753411611428
53,Extract the user role (admin/editor/viewer) from this permission string: 'Has complete system owner role across all domain cabinets' as JSON: { 'role':,admin,22.821711153421777
127,Extract the user role (admin/editor/viewer) from this permission string: 'Can create billing credentials and modify DNS configurations' as JSON: { 'role':,admin,22.64523330139377
51,Extract the user role (admin/editor/viewer) from this permission string: 'Allowed to edit configuration templates and update baseline files' as JSON: { 'role':,editor,22.58644715131052
121,"Extract the user role (admin/editor/viewer) from this permission string: 'Can assign groups, modify profiles, and manage directory servers' as JSON: { 'role':",admin,22.583346752593652
59,Extract the user role (admin/editor/viewer) from this permission string: 'Has absolute root credentials on target cloud containers' as JSON: { 'role':,admin,22.542746100467166
128,Extract the user role (admin/editor/viewer) from this permission string: 'Can submit content reviews and update documentation databases' as JSON: { 'role':,editor,22.47222619597113
47,Extract the user role (admin/editor/viewer) from this permission string: 'Can create billing credentials and modify system configurations' as JSON: { 'role':,admin,22.463264991324728
41,"Extract the user role (admin/editor/viewer) from this permission string: 'Can assign groups, modify profiles, and manage system administrators' as JSON: { 'role':",admin,22.30985394384949
48,Extract the user role (admin/editor/viewer) from this permission string: 'Can submit content reviews and update documentation files' as JSON: { 'role':,editor,22.227312911169257
57,Extract the user role (admin/editor/viewer) from this permission string: 'Allowed to adjust metadata keywords on uploaded videos' as JSON: { 'role':,editor,22.172046077906263
122,Extract the user role (admin/editor/viewer) from this permission string: 'Can modify configuration files and edit draft stylesheets' as JSON: { 'role':,editor,22.14449664727134
60,Extract the user role (admin/editor/viewer) from this permission string: 'Can write updates to wiki documentation articles' as JSON: { 'role':,editor,21.96123515523097
56,Extract the user role (admin/editor/viewer) from this permission string: 'Can establish database clusters and adjust primary host configs' as JSON: { 'role':,admin,21.904612403469084
54,Extract the user role (admin/editor/viewer) from this permission string: 'Can write new blog articles and modify published copy' as JSON: { 'role':,editor,21.78046288670349
43,Extract the user role (admin/editor/viewer) from this permission string: 'Can read audit logs and browse directory indices but cannot write changes' as JSON: { 'role':,viewer,21.716740788532487
94,To accept the negative consequences of your previous incorrect actions is to face the,music,21.68404089136073
123,Extract the user role (admin/editor/viewer) from this permission string: 'Can read application logs and browse metric dashboards' as JSON: { 'role':,viewer,21.502699946567297
131,Extract the transaction status (approved/declined) from this gateway log: 'Stripe gateway logs: payment processed successfully for client 4015' as JSON: { 'status':,approved,21.35881270872755
61,Extract the transaction status (approved/declined) from this gateway log: 'Stripe gateway logs: payment processed successfully for client 1012' as JSON: { 'status':,approved,21.34184956117874
126,Extract the user role (admin/editor/viewer) from this permission string: 'Can view server connection status metrics but has no edit rights' as JSON: { 'role':,viewer,21.31921381728308
58,Extract the user role (admin/editor/viewer) from this permission string: 'Can download static file attachment assets' as JSON: { 'role':,viewer,21.239552593593775
129,Extract the user role (admin/editor/viewer) from this permission string: 'Can observe network throughput metrics but cannot change server ports' as JSON: { 'role':,viewer,21.215998063133195
46,Extract the user role (admin/editor/viewer) from this permission string: 'Can browse metric dashboard views but lacks edit rights' as JSON: { 'role':,viewer,21.120557590882918
52,Extract the user role (admin/editor/viewer) from this permission string: 'Can view transaction history records but cannot trigger refunds' as JSON: { 'role':,viewer,21.045674462082985
55,Extract the user role (admin/editor/viewer) from this permission string: 'Can inspect user profile details but cannot alter names' as JSON: { 'role':,viewer,21.03651088154123
49,Extract the user role (admin/editor/viewer) from this permission string: 'Can observe network throughput metrics but cannot change port bindings' as JSON: { 'role':,viewer,20.704612389397088
137,Extract the transaction status (approved/declined) from this gateway log: 'Adyen gateway logs: transaction approved successfully' as JSON: { 'status':,approved,20.629502599594357
77,"Extract the transaction status (approved/declined) from this gateway log: 'Adyen gateway logs: funds captured, invoice archived' as JSON: { 'status':",approved,19.90565461587685
68,"Extract the transaction status (approved/declined) from this gateway log: 'PayPal gateway logs: payment authorized, pending capture' as JSON: { 'status':",approved,19.640333745787192
79,Extract the transaction status (approved/declined) from this gateway log: 'Braintree gateway logs: merchant manual override applied' as JSON: { 'status':,approved,19.526829201117366
73,Extract the transaction status (approved/declined) from this gateway log: 'PayPal gateway logs: payment completed successfully' as JSON: { 'status':,approved,19.471309397985177
173,The structured query language command used to alter existing database rows is,UPDATE,19.444630183700287
64,"Extract the transaction status (approved/declined) from this gateway log: 'Braintree gateway logs: auth success, funds capture complete' as JSON: { 'status':",approved,19.440240650529997
134,"Extract the transaction status (approved/declined) from this gateway log: 'Braintree gateway logs: auth verified, batch capture success' as JSON: { 'status':",approved,19.310604723241276
75,"Extract the transaction status (approved/declined) from this gateway log: 'Authorize.Net gateway logs: token validated, clearance complete' as JSON: { 'status':",approved,19.241029914176554
167,The fast volatile memory layer loaded during active task runtime is,RAM,19.03606967863603
66,"Extract the transaction status (approved/declined) from this gateway log: 'Stripe gateway logs: verification code checked, order complete' as JSON: { 'status':",approved,19.00864976857413
139,Extract the transaction status (approved/declined) from this gateway log: 'Braintree gateway logs: valid auth code returned' as JSON: { 'status':,approved,18.683621938077355
70,Extract the transaction status (approved/declined) from this gateway log: 'Authorize.Net gateway logs: digital wallet authenticated' as JSON: { 'status':,approved,18.653664234287685
197,The software development tools bundle provided to programmers is an,SDK,18.259616104679463
168,The non-volatile chip storing fundamental startup firmware instructions is,ROM,17.860470126267206
181,The Python script keyword used to emit values back from functions is,return,17.60211908201364
118,Extract the API action (get/post/delete) from this routing rule: 'Erase unverified user registration files list' as JSON: { 'action':,delete,17.55143201526257
36,Extract the API action (get/post/delete) from this routing rule: 'Purge deprecated session metadata blocks' as JSON: { 'action':,delete,17.461022607770865
115,Extract the API action (get/post/delete) from this routing rule: 'Erase expired backup storage directories list' as JSON: { 'action':,delete,17.421128247519174
26,Extract the API action (get/post/delete) from this routing rule: 'Erase configuration baseline revision logs' as JSON: { 'action':,delete,17.25786149394006
39,Extract the API action (get/post/delete) from this routing rule: 'Erase staging database cluster indexes' as JSON: { 'action':,delete,17.153781594717
29,Extract the API action (get/post/delete) from this routing rule: 'Erase temporary local billing directory' as JSON: { 'action':,delete,16.890580612131206
99,"To initiate a highly difficult, tense, or awkward discussion with colleagues is to break the",ice,15.65396877483021
195,"In web protocols, the structured text format used for data exchanges is",JSON,15.598059398099458
22,Extract the API action (get/post/delete) from this routing rule: 'Delete inactive user session records from Redis cache' as JSON: { 'action':,delete,15.46045289617211
198,The unified development software editor workspace is an,IDE,15.456380081278054
32,Extract the API action (get/post/delete) from this routing rule: 'Delete orphaned docker volumes from host server' as JSON: { 'action':,delete,15.39619551375789
117,Extract the API action (get/post/delete) from this routing rule: 'Provision a new security credential set block' as JSON: { 'action':,post,15.39341689271464
170,The internet routing directory system that maps domain names to IPs is,DNS,15.250296659518296
