id,prompt,target,task_type,split,is_critical,criticality_weight
1,"Extract API action get, post, or delete from rule: 'Delete expired sessions from Redis cache'. Answer:",delete,api_routing,train,1,1.5
2,"Classify IAM role as admin, editor, or viewer: 'Can view dashboards and export read-only audit logs'. Answer:",viewer,iam_audit,train,0,1.0
3,Classify payment gateway status as approved or declined: 'manual merchant override approved after review'. Answer:,approved,fintech_audit,train,1,1.5
4,"Classify heart rate status as normal, bradycardia, or tachycardia: heart rate 112 BPM. Answer:",tachycardia,clinical_nlp,train,1,1.5
5,"Classify product department as electronics, apparel, or home: 'water resistant hiking jacket'. Answer:",apparel,ecommerce_routing,train,0,1.0
6,Classify network exposure as public or private: security group has port 443 opened to 10.0.0.0/8. Answer:,private,security_audit,train,0,1.0
7,Complete with one exact token: A repeated validation failure across both systems is,persistent,governance_cloze,train,0,1.0
8,"Classify security risk as low, medium, or high: S3 bucket created private for staging logs. Answer:",low,security_triage,train,0,1.0
9,"Extract API action get, post, or delete from rule: 'Load model confidence audit trace'. Answer:",get,api_routing,train,0,1.0
10,"Classify IAM role as admin, editor, or viewer: 'Can revise documentation pages but cannot change access groups'. Answer:",editor,iam_audit,train,0,1.0
11,Classify payment gateway status as approved or declined: 'tokenized wallet authenticated and cleared'. Answer:,approved,fintech_audit,train,0,1.0
12,"Classify heart rate status as normal, bradycardia, or tachycardia: heart rate 48 BPM. Answer:",bradycardia,clinical_nlp,train,1,1.5
13,"Classify product department as electronics, apparel, or home: 'cotton slim fit formal shirt'. Answer:",apparel,ecommerce_routing,train,0,1.0
14,Classify network exposure as public or private: security group has port 3389 opened to 0.0.0.0/0. Answer:,public,security_audit,train,1,2.0
15,Complete with one exact token: A rule preventing unsafe promotion is a,gate,governance_cloze,train,1,1.5
16,"Classify security risk as low, medium, or high: ReadOnly policy attached to audit bot with MFA verified. Answer:",low,security_triage,train,0,1.0
17,"Extract API action get, post, or delete from rule: 'Provision customer consent record'. Answer:",post,api_routing,train,0,1.0
18,"Classify IAM role as admin, editor, or viewer: 'Can assign privileges and manage tenant security settings'. Answer:",admin,iam_audit,train,1,2.0
19,Classify payment gateway status as approved or declined: 'issuer declined due to insufficient funds'. Answer:,declined,fintech_audit,train,0,1.0
20,"Classify heart rate status as normal, bradycardia, or tachycardia: heart rate 72 BPM. Answer:",normal,clinical_nlp,train,0,1.0
21,"Classify product department as electronics, apparel, or home: 'wireless bluetooth headphones'. Answer:",electronics,ecommerce_routing,train,0,1.0
22,Classify network exposure as public or private: security group has port 3306 opened to 0.0.0.0/0. Answer:,public,security_audit,train,1,2.0
23,Complete with one exact token: A formerly correct output becoming wrong is a,regression,governance_cloze,train,1,1.5
24,"Classify security risk as low, medium, or high: SSH key added with 1024 bit strength for temporary contractor account. Answer:",medium,security_triage,train,1,1.5
25,"Extract API action get, post, or delete from rule: 'Erase stale backup snapshots'. Answer:",delete,api_routing,train,1,1.5
