sample_id,prompt,target,curriculum_score,pcrf_weight,criticality_weight,combined_weight,sampling_bucket
79,Complete with one word only: The reserved programming keyword used to initiate routine blocks in Python is,def,0.026393,0.084249,5.0,0.011118,HIGH_PRIORITY
66,Complete with one word only: The digital counting framework representing information with 0 and 1 is,Binary,0.026298,0.084249,5.0,0.011078,HIGH_PRIORITY
78,Complete with one word only: The reserved programming keyword used to declare structural blueprints in Python is,class,0.026238,0.084249,5.0,0.011053,HIGH_PRIORITY
56,Complete with one word only: A liquid solution with a pH rating significantly higher than 7 is a,Base,0.025212,0.084249,1.0,0.002124,HIGH_PRIORITY
74,Complete with one word only: The relational database directive used to fetch selected tuples from table arrays is,SELECT,0.024739,0.084249,5.0,0.010421,HIGH_PRIORITY
63,"Complete with one word only: To store keyed associative records with rapid O(1) lookup, developers choose a",Map,0.024410,0.084249,1.0,0.002057,HIGH_PRIORITY
43,Complete with one word only: The element with atomic number 6 is,Carbon,0.024198,0.084249,1.0,0.002039,HIGH_PRIORITY
67,Complete with one word only: The primary volatile memory utilized for rapid workspace computation is,RAM,0.022075,0.084249,5.0,0.009299,HIGH_PRIORITY
71,Complete with one word only: The network transmission protocol used to serve encrypted web content is,HTTPS,0.021347,0.084249,1.0,0.001798,HIGH_PRIORITY
60,Complete with one word only: Light waves travel significantly faster than mechanical propagation of,Sound,0.021062,0.084249,1.0,0.001774,HIGH_PRIORITY
77,"Complete with one word only: In balanced search trees, a terminal node lacking downstream progeny is a",Leaf,0.021059,0.084249,1.0,0.001774,HIGH_PRIORITY
53,Complete with one word only: The physical force driving planetary orbits is,Gravity,0.020856,0.084249,1.0,0.001757,HIGH_PRIORITY
76,Complete with one word only: The fundamental internet routing system standardizing packet layout is the,IP,0.020788,0.084249,5.0,0.008757,HIGH_PRIORITY
75,Complete with one word only: An auxiliary database lookup catalog built to accelerate query evaluation is an,Index,0.019595,0.084249,1.0,0.001651,HIGH_PRIORITY
59,Complete with one word only: The core organ driving blood circulation in mammalian systems is the,Heart,0.019370,0.084249,3.0,0.004896,HIGH_PRIORITY
70,"Complete with one word only: In class structures, an operational memory instantiation is called an",Object,0.018801,0.084249,5.0,0.007920,HIGH_PRIORITY
68,Complete with one word only: The foundational processing unit executing computing instructions is the,CPU,0.017730,0.084249,5.0,0.007469,HIGH_PRIORITY
58,Complete with one word only: The atmospheric gas primarily responsible for global warming is,Carbon,0.017569,0.084249,1.0,0.001480,HIGH_PRIORITY
57,Complete with one word only: The basic physical container of all organic life is the,Cell,0.017331,0.084249,1.0,0.001460,HIGH_PRIORITY
37,Complete with one word only: The official capital city of Switzerland is,Bern,0.016965,0.084249,5.0,0.007146,HIGH_PRIORITY
61,"Complete with one word only: In operating systems, a scheduled execution thread resides within a",Process,0.016436,0.084249,5.0,0.006923,MID_PRIORITY
72,Complete with one word only: A software routine that invokes itself to solve smaller sub-problems is,Recursion,0.015895,0.084249,1.0,0.001339,MID_PRIORITY
15,Complete with one word only: The official capital city of Mexico is,Mexico,0.015530,0.084249,1.0,0.001308,MID_PRIORITY
1,Complete with one word only: The official capital city of France is,Paris,0.014811,0.084249,1.0,0.001248,MID_PRIORITY
12,Complete with one word only: The official capital city of England is,London,0.014167,0.084249,4.0,0.004774,MID_PRIORITY
62,"Complete with one word only: In deep learning, structural parameters are mathematically adjusted via",Descent,0.014074,0.084249,1.0,0.001186,MID_PRIORITY
69,Complete with one word only: The technical engineering pipeline of locating and isolating software bugs is,Debugging,0.013401,0.084249,1.0,0.001129,MID_PRIORITY
2,Complete with one word only: The official capital city of Germany is,Berlin,0.012908,0.084249,1.0,0.001087,MID_PRIORITY
42,Complete with one word only: The element with atomic number 2 is,Helium,0.012271,0.084249,1.0,0.001034,MID_PRIORITY
73,Complete with one word only: The version control directive committing index state to local repository history is git,commit,0.012148,0.084249,1.0,0.001023,MID_PRIORITY
48,Complete with one word only: The planet with the highest surface temperature is,Venus,0.011775,0.084249,1.0,0.000992,MID_PRIORITY
44,Complete with one word only: The element with atomic number 7 is,Nitrogen,0.011544,0.084249,1.0,0.000973,MID_PRIORITY
