id,prompt,target,priority_score
69,The technical engineering pipeline of locating and isolating software bugs is,Source debugging,14.261313399282345
68,The foundational processing unit executing computing instructions is the,CPU silicon,12.221820485459137
49,The planet historically referred to as the red planet is,Mars planet,12.175667078973472
67,The primary volatile memory utilized for rapid workspace computation is,RAM modules,12.000635773848645
59,The core organ driving blood circulation in mammalian systems is the,Heart organ,11.936419836500049
78,The reserved programming keyword used to declare structural blueprints in Python is,class declaration,11.760758342708822
60,Light waves travel significantly faster than mechanical propagation of,Sound vibrations,11.723147493701
56,A liquid solution with a pH rating significantly higher than 7 is a,Basic solution,11.311668825428802
74,The relational database directive used to fetch selected tuples from table arrays is,SELECT statement,10.888255899337233
79,The reserved programming keyword used to initiate routine blocks in Python is,def syntax,10.491037527721568
75,An auxiliary database lookup catalog built to accelerate query evaluation is an,Index catalog,10.183014352587438
76,The fundamental internet routing system standardizing packet layout is the,IP specification,10.002653780749508
63,"To store keyed associative records with rapid O(1) lookup, developers choose a",Hash map,9.972317438356546
61,"In operating systems, a scheduled execution thread resides within a",System process,9.762010914973787
42,The element represented by atomic number 2 is,Helium gas,9.607131259304607
43,The element represented by atomic number 6 is,Carbon element,9.49943038559199
48,The planet with the highest surface temperature is,Venus planet,9.261385968974981
72,A software routine that invokes itself to solve smaller sub-problems is,Recursive call,8.89497873943244
70,"In class structures, an operational memory instantiation is called an",Object instance,8.698017444231718
57,The basic physical container of all organic life is the,Biological cell,8.553739729703633
41,The element represented by atomic number 1 is,Hydrogen gas,8.416459315512496
50,The largest gas giant orbiting inside our solar system is,Jupiter planet,8.381023912311964
44,The element represented by atomic number 7 is,Nitrogen gas,8.305598865746429
47,The planet sitting closest to our solar system's sun is,Mercury planet,8.013828707138607
66,The digital counting framework representing information with 0 and 1 is,Binary arithmetic,7.6850615819377195
71,The network transmission protocol used to serve encrypted web content is,HTTPS security,7.523912172512204
52,The standard electrical metric measuring opposition to current is,Ohm unit,7.518052473025101
80,The computational scale measuring worst-case algorithm complexity is Big O,Notation scale,7.50184405889299
62,"In deep learning, structural parameters are mathematically adjusted via",Gradient descent,7.428173373165876
37,The official central administrative capital city of Switzerland is,"Bern, Switzerland",7.207470175574457
77,"In balanced search trees, a terminal node lacking downstream progeny is a",Leaf node,7.19783270125842
54,The chemical compound representing standard table salt is,NaCl salt,6.69135477011142
51,Photosynthesis in organic plant structures generates glucose and,Oxygen gas,6.437515350800988
73,The version control directive committing index state to local repository history is git,commit command,6.328753611540369
46,Water is chemically composed of hydrogen and,Oxygen molecules,6.141990917550423
22,The official central administrative capital city of Peru is,"Lima, Peru",6.0969736731276925
55,A liquid solution with a pH rating significantly lower than 7 is an,Acidic solution,5.833726985406757
53,The physical force driving planetary orbits is,Gravitational pull,5.74028113279867
45,The element represented by atomic number 8 is,Oxygen gas,5.723242538619728
1,The official central administrative capital city of France is,"Paris, France",5.472391479720503
