sample_id,prompt,target,curriculum_score,pcrf_weight,criticality_weight,combined_weight,sampling_bucket
45,Extract the user role (admin/editor/viewer) from this permission string: 'Authorized to save draft adjustments but lacks user admin panel rights' as JSON: { 'role':,editor,0.016301,0.087196,1.0,0.001421,HIGH_PRIORITY
44,Extract the user role (admin/editor/viewer) from this permission string: 'Has root level execution privileges and can delete files globally' as JSON: { 'role':,admin,0.016161,0.087196,2.0,0.002818,HIGH_PRIORITY
42,Extract the user role (admin/editor/viewer) from this permission string: 'Can modify files and edit existing document drafts' as JSON: { 'role':,editor,0.016139,0.087196,1.0,0.001407,HIGH_PRIORITY
50,Extract the user role (admin/editor/viewer) from this permission string: 'Authorized to adjust user access directories and assign privileges' as JSON: { 'role':,admin,0.016113,0.087196,1.5,0.002108,HIGH_PRIORITY
53,Extract the user role (admin/editor/viewer) from this permission string: 'Has complete system owner role across all domain cabinets' as JSON: { 'role':,admin,0.016046,0.087196,1.5,0.002099,HIGH_PRIORITY
51,Extract the user role (admin/editor/viewer) from this permission string: 'Allowed to edit configuration templates and update baseline files' as JSON: { 'role':,editor,0.015881,0.087196,1.0,0.001385,HIGH_PRIORITY
59,Extract the user role (admin/editor/viewer) from this permission string: 'Has absolute root credentials on target cloud containers' as JSON: { 'role':,admin,0.015850,0.087196,1.5,0.002073,HIGH_PRIORITY
47,Extract the user role (admin/editor/viewer) from this permission string: 'Can create billing credentials and modify system configurations' as JSON: { 'role':,admin,0.015794,0.087196,1.5,0.002066,HIGH_PRIORITY
41,"Extract the user role (admin/editor/viewer) from this permission string: 'Can assign groups, modify profiles, and manage system administrators' as JSON: { 'role':",admin,0.015686,0.087196,1.5,0.002052,HIGH_PRIORITY
48,Extract the user role (admin/editor/viewer) from this permission string: 'Can submit content reviews and update documentation files' as JSON: { 'role':,editor,0.015628,0.087196,1.0,0.001363,HIGH_PRIORITY
57,Extract the user role (admin/editor/viewer) from this permission string: 'Allowed to adjust metadata keywords on uploaded videos' as JSON: { 'role':,editor,0.015589,0.087196,1.0,0.001359,HIGH_PRIORITY
60,Extract the user role (admin/editor/viewer) from this permission string: 'Can write updates to wiki documentation articles' as JSON: { 'role':,editor,0.015441,0.087196,1.0,0.001346,HIGH_PRIORITY
56,Extract the user role (admin/editor/viewer) from this permission string: 'Can establish database clusters and adjust primary host configs' as JSON: { 'role':,admin,0.015401,0.087196,1.5,0.002014,HIGH_PRIORITY
54,Extract the user role (admin/editor/viewer) from this permission string: 'Can write new blog articles and modify published copy' as JSON: { 'role':,editor,0.015314,0.087196,1.0,0.001335,HIGH_PRIORITY
43,Extract the user role (admin/editor/viewer) from this permission string: 'Can read audit logs and browse directory indices but cannot write changes' as JSON: { 'role':,viewer,0.015269,0.087196,1.0,0.001331,HIGH_PRIORITY
94,To accept the negative consequences of your previous incorrect actions is to face the,music,0.015246,0.087196,1.0,0.001329,HIGH_PRIORITY
61,Extract the transaction status (approved/declined) from this gateway log: 'Stripe gateway logs: payment processed successfully for client 1012' as JSON: { 'status':,approved,0.015005,0.087196,1.0,0.001308,HIGH_PRIORITY
58,Extract the user role (admin/editor/viewer) from this permission string: 'Can download static file attachment assets' as JSON: { 'role':,viewer,0.014934,0.087196,1.0,0.001302,HIGH_PRIORITY
46,Extract the user role (admin/editor/viewer) from this permission string: 'Can browse metric dashboard views but lacks edit rights' as JSON: { 'role':,viewer,0.014850,0.087196,1.0,0.001295,HIGH_PRIORITY
52,Extract the user role (admin/editor/viewer) from this permission string: 'Can view transaction history records but cannot trigger refunds' as JSON: { 'role':,viewer,0.014797,0.087196,1.0,0.001290,HIGH_PRIORITY
55,Extract the user role (admin/editor/viewer) from this permission string: 'Can inspect user profile details but cannot alter names' as JSON: { 'role':,viewer,0.014791,0.087196,1.0,0.001290,HIGH_PRIORITY
49,Extract the user role (admin/editor/viewer) from this permission string: 'Can observe network throughput metrics but cannot change port bindings' as JSON: { 'role':,viewer,0.014557,0.087196,1.0,0.001269,HIGH_PRIORITY
77,"Extract the transaction status (approved/declined) from this gateway log: 'Adyen gateway logs: funds captured, invoice archived' as JSON: { 'status':",approved,0.013996,0.087196,1.0,0.001220,HIGH_PRIORITY
68,"Extract the transaction status (approved/declined) from this gateway log: 'PayPal gateway logs: payment authorized, pending capture' as JSON: { 'status':",approved,0.013809,0.087196,1.0,0.001204,HIGH_PRIORITY
79,Extract the transaction status (approved/declined) from this gateway log: 'Braintree gateway logs: merchant manual override applied' as JSON: { 'status':,approved,0.013729,0.087196,1.0,0.001197,HIGH_PRIORITY
73,Extract the transaction status (approved/declined) from this gateway log: 'PayPal gateway logs: payment completed successfully' as JSON: { 'status':,approved,0.013690,0.087196,1.0,0.001194,MID_PRIORITY
64,"Extract the transaction status (approved/declined) from this gateway log: 'Braintree gateway logs: auth success, funds capture complete' as JSON: { 'status':",approved,0.013668,0.087196,1.5,0.001788,MID_PRIORITY
75,"Extract the transaction status (approved/declined) from this gateway log: 'Authorize.Net gateway logs: token validated, clearance complete' as JSON: { 'status':",approved,0.013528,0.087196,1.5,0.001769,MID_PRIORITY
66,"Extract the transaction status (approved/declined) from this gateway log: 'Stripe gateway logs: verification code checked, order complete' as JSON: { 'status':",approved,0.013365,0.087196,1.0,0.001165,MID_PRIORITY
70,Extract the transaction status (approved/declined) from this gateway log: 'Authorize.Net gateway logs: digital wallet authenticated' as JSON: { 'status':,approved,0.013115,0.087196,1.0,0.001144,MID_PRIORITY
36,Extract the API action (get/post/delete) from this routing rule: 'Purge deprecated session metadata blocks' as JSON: { 'action':,delete,0.012277,0.087196,1.5,0.001606,MID_PRIORITY
26,Extract the API action (get/post/delete) from this routing rule: 'Erase configuration baseline revision logs' as JSON: { 'action':,delete,0.012134,0.087196,1.5,0.001587,MID_PRIORITY
39,Extract the API action (get/post/delete) from this routing rule: 'Erase staging database cluster indexes' as JSON: { 'action':,delete,0.012061,0.087196,1.0,0.001052,MID_PRIORITY
29,Extract the API action (get/post/delete) from this routing rule: 'Erase temporary local billing directory' as JSON: { 'action':,delete,0.011876,0.087196,1.0,0.001036,MID_PRIORITY
99,"To initiate a highly difficult, tense, or awkward discussion with colleagues is to break the",ice,0.011006,0.087196,1.0,0.000960,MID_PRIORITY
22,Extract the API action (get/post/delete) from this routing rule: 'Delete inactive user session records from Redis cache' as JSON: { 'action':,delete,0.010870,0.087196,1.5,0.001422,MID_PRIORITY
32,Extract the API action (get/post/delete) from this routing rule: 'Delete orphaned docker volumes from host server' as JSON: { 'action':,delete,0.010825,0.087196,1.5,0.001416,MID_PRIORITY
28,Extract the API action (get/post/delete) from this routing rule: 'Provision a new security credential record' as JSON: { 'action':,post,0.010497,0.087196,1.0,0.000915,MID_PRIORITY
25,Extract the API action (get/post/delete) from this routing rule: 'Register new mobile gateway configuration' as JSON: { 'action':,post,0.010313,0.087196,1.0,0.000899,MID_PRIORITY
23,Extract the API action (get/post/delete) from this routing rule: 'Create a new client verification token' as JSON: { 'action':,post,0.010310,0.087196,1.0,0.000899,MID_PRIORITY
87,"An entirely random, highly surprising, and completely unexpected event is out of the",blue,0.010183,0.087196,1.0,0.000888,MID_PRIORITY
35,Extract the API action (get/post/delete) from this routing rule: 'Push latest system baseline profile configuration' as JSON: { 'action':,post,0.010172,0.087196,1.0,0.000887,MID_PRIORITY
33,Extract the API action (get/post/delete) from this routing rule: 'Submit client access registration block' as JSON: { 'action':,post,0.010126,0.087196,1.0,0.000883,MID_PRIORITY
38,Extract the API action (get/post/delete) from this routing rule: 'Publish new API gateway endpoint route' as JSON: { 'action':,post,0.010032,0.087196,1.0,0.000875,MID_PRIORITY
85,"Feeling entirely awkward, uncomfortable, and physically out of place is like a fish out of",water,0.009560,0.087196,1.0,0.000834,MID_PRIORITY
96,To completely cease working on a development pipeline for the evening is to call it a,day,0.009551,0.087196,1.0,0.000833,MID_PRIORITY
92,Executing an operational workflow that is incredibly straightforward is a piece of,cake,0.008999,0.087196,1.0,0.000785,MID_PRIORITY
83,To accidentally reveal highly confidential organization blueprints is to let the cat out of the,bag,0.008819,0.087196,1.0,0.000769,MID_PRIORITY
34,Extract the API action (get/post/delete) from this routing rule: 'Load active transaction audit logs' as JSON: { 'action':,get,0.008775,0.087196,1.0,0.000765,MID_PRIORITY
31,Extract the API action (get/post/delete) from this routing rule: 'Retrieve active cluster heartbeat telemetry' as JSON: { 'action':,get,0.008679,0.087196,1.0,0.000757,MID_PRIORITY
21,Extract the API action (get/post/delete) from this routing rule: 'Fetch client profile metadata from PostgreSQL' as JSON: { 'action':,get,0.008635,0.087196,1.0,0.000753,MID_PRIORITY
