sample_id,prompt,target,curriculum_score,pcrf_weight,criticality_weight,combined_weight,sampling_bucket
66,Complete with one word only: The digital counting framework representing information with 0 and 1 is,Binary,0.025282,0.033583,5.0,0.004245,HIGH_PRIORITY
43,Complete with one word only: The element with atomic number 6 is,Carbon,0.024886,0.033583,1.0,0.000836,HIGH_PRIORITY
56,Complete with one word only: A liquid solution with a pH rating significantly higher than 7 is a,Base,0.024393,0.033583,1.0,0.000819,HIGH_PRIORITY
78,Complete with one word only: The reserved programming keyword used to declare structural blueprints in Python is,class,0.024250,0.033583,5.0,0.004072,HIGH_PRIORITY
79,Complete with one word only: The reserved programming keyword used to initiate routine blocks in Python is,def,0.024135,0.033583,5.0,0.004053,HIGH_PRIORITY
63,"Complete with one word only: To store keyed associative records with rapid O(1) lookup, developers choose a",Map,0.023698,0.033583,1.0,0.000796,HIGH_PRIORITY
74,Complete with one word only: The relational database directive used to fetch selected tuples from table arrays is,SELECT,0.022997,0.033583,5.0,0.003862,HIGH_PRIORITY
67,Complete with one word only: The primary volatile memory utilized for rapid workspace computation is,RAM,0.022451,0.033583,5.0,0.003770,HIGH_PRIORITY
75,Complete with one word only: An auxiliary database lookup catalog built to accelerate query evaluation is an,Index,0.022002,0.033583,1.0,0.000739,HIGH_PRIORITY
59,Complete with one word only: The core organ driving blood circulation in mammalian systems is the,Heart,0.020929,0.033583,3.0,0.002109,HIGH_PRIORITY
76,Complete with one word only: The fundamental internet routing system standardizing packet layout is the,IP,0.020579,0.033583,5.0,0.003455,HIGH_PRIORITY
77,"Complete with one word only: In balanced search trees, a terminal node lacking downstream progeny is a",Leaf,0.019683,0.033583,1.0,0.000661,HIGH_PRIORITY
60,Complete with one word only: Light waves travel significantly faster than mechanical propagation of,Sound,0.019666,0.033583,1.0,0.000660,HIGH_PRIORITY
53,Complete with one word only: The physical force driving planetary orbits is,Gravity,0.019218,0.033583,1.0,0.000645,HIGH_PRIORITY
58,Complete with one word only: The atmospheric gas primarily responsible for global warming is,Carbon,0.018380,0.033583,1.0,0.000617,HIGH_PRIORITY
71,Complete with one word only: The network transmission protocol used to serve encrypted web content is,HTTPS,0.018012,0.033583,1.0,0.000605,HIGH_PRIORITY
57,Complete with one word only: The basic physical container of all organic life is the,Cell,0.017345,0.033583,1.0,0.000582,HIGH_PRIORITY
70,"Complete with one word only: In class structures, an operational memory instantiation is called an",Object,0.017197,0.033583,5.0,0.002888,HIGH_PRIORITY
12,Complete with one word only: The official capital city of England is,London,0.016702,0.033583,4.0,0.002244,HIGH_PRIORITY
68,Complete with one word only: The foundational processing unit executing computing instructions is the,CPU,0.016580,0.033583,5.0,0.002784,HIGH_PRIORITY
72,Complete with one word only: A software routine that invokes itself to solve smaller sub-problems is,Recursion,0.016336,0.033583,1.0,0.000549,MID_PRIORITY
15,Complete with one word only: The official capital city of Mexico is,Mexico,0.015720,0.033583,1.0,0.000528,MID_PRIORITY
1,Complete with one word only: The official capital city of France is,Paris,0.015252,0.033583,1.0,0.000512,MID_PRIORITY
37,Complete with one word only: The official capital city of Switzerland is,Bern,0.015137,0.033583,5.0,0.002542,MID_PRIORITY
61,"Complete with one word only: In operating systems, a scheduled execution thread resides within a",Process,0.014519,0.033583,5.0,0.002438,MID_PRIORITY
69,Complete with one word only: The technical engineering pipeline of locating and isolating software bugs is,Debugging,0.013063,0.033583,1.0,0.000439,MID_PRIORITY
62,"Complete with one word only: In deep learning, structural parameters are mathematically adjusted via",Descent,0.012974,0.033583,1.0,0.000436,MID_PRIORITY
2,Complete with one word only: The official capital city of Germany is,Berlin,0.012748,0.033583,1.0,0.000428,MID_PRIORITY
45,Complete with one word only: The element with atomic number 8 is,Oxygen,0.012346,0.033583,3.0,0.001244,MID_PRIORITY
28,Complete with one word only: The official capital city of Finland is,Helsinki,0.011923,0.033583,1.0,0.000400,MID_PRIORITY
3,Complete with one word only: The official capital city of Italy is,Rome,0.011757,0.033583,1.0,0.000395,MID_PRIORITY
49,Complete with one word only: The planet historically referred to as the red planet is,Mars,0.011733,0.033583,1.0,0.000394,MID_PRIORITY
7,Complete with one word only: The official capital city of Egypt is,Cairo,0.011580,0.033583,1.0,0.000389,MID_PRIORITY
42,Complete with one word only: The element with atomic number 2 is,Helium,0.011461,0.033583,1.0,0.000385,MID_PRIORITY
48,Complete with one word only: The planet with the highest surface temperature is,Venus,0.011312,0.033583,1.0,0.000380,MID_PRIORITY
50,Complete with one word only: The largest gas giant orbiting inside our solar system is,Jupiter,0.011154,0.033583,1.0,0.000375,MID_PRIORITY
30,Complete with one word only: The official capital city of Kenya is,Nairobi,0.011097,0.033583,1.0,0.000373,MID_PRIORITY
55,Complete with one word only: A liquid solution with a pH rating significantly lower than 7 is an,Acid,0.010959,0.033583,1.0,0.000368,MID_PRIORITY
51,Complete with one word only: Photosynthesis in organic plant structures generates glucose and,Oxygen,0.010853,0.033583,3.0,0.001093,MID_PRIORITY
17,Complete with one word only: The official capital city of Australia is,Canberra,0.010788,0.033583,1.0,0.000362,MID_PRIORITY
38,Complete with one word only: The official capital city of Denmark is,Copenhagen,0.010783,0.033583,1.0,0.000362,MID_PRIORITY
44,Complete with one word only: The element with atomic number 7 is,Nitrogen,0.010731,0.033583,1.0,0.000360,MID_PRIORITY
52,Complete with one word only: The standard electrical metric measuring opposition to current is,Ohm,0.010728,0.033583,1.0,0.000360,MID_PRIORITY
47,Complete with one word only: The planet sitting closest to our solar system's sun is,Mercury,0.010480,0.033583,1.0,0.000352,MID_PRIORITY
73,Complete with one word only: The version control directive committing index state to local repository history is git,commit,0.010342,0.033583,1.0,0.000347,MID_PRIORITY
22,Complete with one word only: The official capital city of Peru is,Lima,0.009934,0.033583,1.0,0.000334,MID_PRIORITY
23,Complete with one word only: The official capital city of Chile is,Santiago,0.009390,0.033583,1.0,0.000315,MID_PRIORITY
21,Complete with one word only: The official capital city of Vietnam is,Hanoi,0.009381,0.033583,1.0,0.000315,MID_PRIORITY
33,Complete with one word only: The official capital city of New Zealand is,Wellington,0.009128,0.033583,1.0,0.000307,MID_PRIORITY
10,Complete with one word only: The official capital city of Russia is,Moscow,0.009010,0.033583,1.0,0.000303,MID_PRIORITY
39,Complete with one word only: The official capital city of Norway is,Oslo,0.008866,0.033583,1.0,0.000298,MID_PRIORITY
26,Complete with one word only: The official capital city of Austria is,Vienna,0.008620,0.033583,1.0,0.000289,MID_PRIORITY
11,Complete with one word only: The official capital city of India is,Delhi,0.008573,0.033583,4.0,0.001152,MID_PRIORITY
6,Complete with one word only: The official capital city of China is,Beijing,0.008493,0.033583,4.0,0.001141,MID_PRIORITY
54,Complete with one word only: The chemical compound representing standard table salt is,NaCl,0.008419,0.033583,1.0,0.000283,MID_PRIORITY
31,Complete with one word only: The official capital city of Nigeria is,Abuja,0.008361,0.033583,1.0,0.000281,MID_PRIORITY
