id,prompt,target,priority_score
79,The reserved programming keyword used to initiate routine blocks in Python is,def,18.416938028738986
43,The element with atomic number 6 is,Carbon,18.335778636753172
78,The reserved programming keyword used to declare structural blueprints in Python is,class,16.874591990357608
66,The digital counting framework representing information with 0 and 1 is,Binary,16.682775226940056
63,"To store keyed associative records with rapid O(1) lookup, developers choose a",Map,14.9887586798055
74,The relational database directive used to fetch selected tuples from table arrays is,SELECT,14.726726418591202
58,The atmospheric gas primarily responsible for global warming is,Carbon,14.42958540976579
56,A liquid solution with a pH rating significantly higher than 7 is a,Base,14.373419802775016
60,Light waves travel significantly faster than mechanical propagation of,Sound,13.781229089598725
77,"In balanced search trees, a terminal node lacking downstream progeny is a",Leaf,13.165746397933889
67,The primary volatile memory utilized for rapid workspace computation is,RAM,13.160661951381913
71,The network transmission protocol used to serve encrypted web content is,HTTPS,12.730212766214372
53,The physical force driving planetary orbits is,Gravity,12.60739506847801
75,An auxiliary database lookup catalog built to accelerate query evaluation is an,Index,12.441297155503689
76,The fundamental internet routing system standardizing packet layout is the,IP,12.432657291602462
59,The core organ driving blood circulation in mammalian systems is the,Heart,11.977425049827715
70,"In class structures, an operational memory instantiation is called an",Object,11.816525436657566
37,The official capital city of Switzerland is,Bern,10.980022622387132
57,The basic physical container of all organic life is the,Cell,10.951719103376524
68,The foundational processing unit executing computing instructions is the,CPU,10.467280506275518
61,"In operating systems, a scheduled execution thread resides within a",Process,10.127462504706235
72,A software routine that invokes itself to solve smaller sub-problems is,Recursion,10.073728763233838
15,The official capital city of Mexico is,Mexico,9.503549678815268
12,The official capital city of England is,London,9.21468600116699
1,The official capital city of France is,Paris,9.128935526722042
69,The technical engineering pipeline of locating and isolating software bugs is,Debugging,8.821802396947403
42,The element with atomic number 2 is,Helium,8.795607160527881
62,"In deep learning, structural parameters are mathematically adjusted via",Descent,8.663045022601452
2,The official capital city of Germany is,Berlin,8.59432359906158
45,The element with atomic number 8 is,Oxygen,8.079638487317109
44,The element with atomic number 7 is,Nitrogen,7.809281955426966
51,Photosynthesis in organic plant structures generates glucose and,Oxygen,7.530467824710383
73,The version control directive committing index state to local repository history is git,commit,7.40099420592793
7,The official capital city of Egypt is,Cairo,7.2357317161594095
55,A liquid solution with a pH rating significantly lower than 7 is an,Acid,7.140711689431577
38,The official capital city of Denmark is,Copenhagen,7.125444867153678
48,The planet with the highest surface temperature is,Venus,7.081066567259681
49,The planet historically referred to as the red planet is,Mars,7.014327588505839
17,The official capital city of Australia is,Canberra,6.864404827045132
3,The official capital city of Italy is,Rome,6.835002224665746
52,The standard electrical metric measuring opposition to current is,Ohm,6.829850864360287
28,The official capital city of Finland is,Helsinki,6.704645743822411
47,The planet sitting closest to our solar system's sun is,Mercury,6.486070969357163
30,The official capital city of Kenya is,Nairobi,6.363339660272685
33,The official capital city of New Zealand is,Wellington,6.344287217359299
22,The official capital city of Peru is,Lima,6.0080680771433945
50,The largest gas giant orbiting inside our solar system is,Jupiter,5.897285367262971
31,The official capital city of Nigeria is,Abuja,5.698790711119082
39,The official capital city of Norway is,Oslo,5.621060898677458
26,The official capital city of Austria is,Vienna,5.608667372948377
23,The official capital city of Chile is,Santiago,5.548352114528911
10,The official capital city of Russia is,Moscow,5.47684128631026
25,The official capital city of Belgium is,Brussels,5.455757461686656
4,The official capital city of Spain is,Madrid,5.410636119515176
14,The official capital city of Brazil is,Brasilia,5.384666092818198
54,The chemical compound representing standard table salt is,NaCl,5.373076530843653
41,The element with atomic number 1 is,Hydrogen,5.350289401644446
21,The official capital city of Vietnam is,Hanoi,5.289658549999597
13,The official capital city of Canada is,Ottawa,5.21208253931971
6,The official capital city of China is,Beijing,5.060722630228225
36,The official capital city of Netherlands is,Amsterdam,4.990316378298415
34,The official capital city of Saudi Arabia is,Riyadh,4.96009782761163
11,The official capital city of India is,Delhi,4.9589493079622935
8,The official capital city of Greece is,Athens,4.923204380336723
35,The official capital city of Ukraine is,Kyiv,4.908462381602933
64,"A sequential queue data structure operates on the first-in first-out principle, or",FIFO,4.895832160954816
18,The official capital city of Sweden is,Stockholm,4.779626940260417
46,Water is chemically composed of oxygen and,Hydrogen,4.675265953288892
9,The official capital city of Portugal is,Lisbon,4.631079905597066
24,The official capital city of Colombia is,Bogota,4.587436658278645
80,The computational scale measuring worst-case algorithm complexity is Big O,Notation,4.576271549217986
27,The official capital city of Poland is,Warsaw,4.52277849751558
65,"A sequential stack data structure operates on the last-in first-out principle, or",LIFO,4.4998550440275595
20,The official capital city of Thailand is,Bangkok,4.367800252172315
32,The official capital city of South Africa is,Pretoria,4.306956175357786
19,The official capital city of Turkey is,Ankara,4.267212401927046
40,The official capital city of Indonesia is,Jakarta,4.23043530468618
29,The official capital city of Ireland is,Dublin,4.044120200067136
5,The official capital city of Japan is,Tokyo,3.9260556259317334
16,The official capital city of Argentina is,Buenos Aires,3.5553262167132957
