id,prompt,target,priority_score
79,Complete with one word only: The reserved programming keyword used to initiate routine blocks in Python is,def,16.532512298135124
78,Complete with one word only: The reserved programming keyword used to declare structural blueprints in Python is,class,16.407452049588688
66,Complete with one word only: The digital counting framework representing information with 0 and 1 is,Binary,16.329729296031115
56,Complete with one word only: A liquid solution with a pH rating significantly higher than 7 is a,Base,15.829617485554566
74,Complete with one word only: The relational database directive used to fetch selected tuples from table arrays is,SELECT,15.41762875903028
63,"Complete with one word only: To store keyed associative records with rapid O(1) lookup, developers choose a",Map,15.182570665708456
43,Complete with one word only: The element with atomic number 6 is,Carbon,15.058661610699646
67,Complete with one word only: The primary volatile memory utilized for rapid workspace computation is,RAM,13.839310123016448
71,Complete with one word only: The network transmission protocol used to serve encrypted web content is,HTTPS,13.330109613515232
60,Complete with one word only: Light waves travel significantly faster than mechanical propagation of,Sound,13.227784655983848
77,"Complete with one word only: In balanced search trees, a terminal node lacking downstream progeny is a",Leaf,13.226692845280288
53,Complete with one word only: The physical force driving planetary orbits is,Gravity,13.037722082019588
76,Complete with one word only: The fundamental internet routing system standardizing packet layout is the,IP,12.921509875749228
75,Complete with one word only: An auxiliary database lookup catalog built to accelerate query evaluation is an,Index,12.232020998410462
59,Complete with one word only: The core organ driving blood circulation in mammalian systems is the,Heart,12.169118950071242
70,"Complete with one word only: In class structures, an operational memory instantiation is called an",Object,11.699497620378157
68,Complete with one word only: The foundational processing unit executing computing instructions is the,CPU,11.013498786796
58,Complete with one word only: The atmospheric gas primarily responsible for global warming is,Carbon,10.979640153336383
57,Complete with one word only: The basic physical container of all organic life is the,Cell,10.811602359986576
37,Complete with one word only: The official capital city of Switzerland is,Bern,10.50532653794785
61,"Complete with one word only: In operating systems, a scheduled execution thread resides within a",Process,10.171755448320141
72,Complete with one word only: A software routine that invokes itself to solve smaller sub-problems is,Recursion,9.886890784277169
15,Complete with one word only: The official capital city of Mexico is,Mexico,9.663446723134046
1,Complete with one word only: The official capital city of France is,Paris,9.241925489035745
12,Complete with one word only: The official capital city of England is,London,8.936825863833201
62,"Complete with one word only: In deep learning, structural parameters are mathematically adjusted via",Descent,8.805632514512094
69,Complete with one word only: The technical engineering pipeline of locating and isolating software bugs is,Debugging,8.32538269932501
2,Complete with one word only: The official capital city of Germany is,Berlin,8.10525053343629
42,Complete with one word only: The element with atomic number 2 is,Helium,7.6434979501592215
73,Complete with one word only: The version control directive committing index state to local repository history is git,commit,7.564773501953296
48,Complete with one word only: The planet with the highest surface temperature is,Venus,7.319989125493657
44,Complete with one word only: The element with atomic number 7 is,Nitrogen,7.190787184722029
49,Complete with one word only: The planet historically referred to as the red planet is,Mars,7.1800888983528965
45,Complete with one word only: The element with atomic number 8 is,Oxygen,7.057204978584833
3,Complete with one word only: The official capital city of Italy is,Rome,6.8948762717383705
