id,prompt,target,task_type,split,is_critical,criticality_weight
1,Train 1: The capital of France is,Paris,factual_cloze,train,1,1.5
2,Train 2: The currency of Japan is,Yen,entity_completion,train,0,1.0
3,Train 3: The chemical symbol for gold is,Au,science_fact,train,0,1.0
4,Train 4: The author of Hamlet is,Shakespeare,literature_fact,train,0,1.0
5,Train 5: The default HTTPS port is,443,technology_fact,train,0,1.0
6,Train 6: The DNS protocol primarily uses,UDP,technology_fact,train,0,1.0
7,Train 7: The headquarters of Microsoft is in,Redmond,company_fact,train,0,1.0
8,Train 8: The largest planet in the solar system is,Jupiter,science_fact,train,0,1.0
9,Train 9: The capital of France is,Paris,factual_cloze,train,0,1.0
10,Train 10: The currency of Japan is,Yen,entity_completion,train,0,1.0
11,Train 11: The chemical symbol for gold is,Au,science_fact,train,0,1.0
12,Train 12: The author of Hamlet is,Shakespeare,literature_fact,train,0,1.0
13,Train 13: The default HTTPS port is,443,technology_fact,train,0,1.0
14,Train 14: The DNS protocol primarily uses,UDP,technology_fact,train,0,1.0
15,Train 15: The headquarters of Microsoft is in,Redmond,company_fact,train,0,1.0
16,Train 16: The largest planet in the solar system is,Jupiter,science_fact,train,0,1.0
17,Train 17: The capital of France is,Paris,factual_cloze,train,0,1.0
18,Train 18: The currency of Japan is,Yen,entity_completion,train,0,1.0
19,Train 19: The chemical symbol for gold is,Au,science_fact,train,0,1.0
20,Train 20: The author of Hamlet is,Shakespeare,literature_fact,train,0,1.0
21,Train 21: The default HTTPS port is,443,technology_fact,train,1,1.5
22,Train 22: The DNS protocol primarily uses,UDP,technology_fact,train,0,1.0
23,Train 23: The headquarters of Microsoft is in,Redmond,company_fact,train,0,1.0
24,Train 24: The largest planet in the solar system is,Jupiter,science_fact,train,0,1.0
25,Train 25: The capital of France is,Paris,factual_cloze,train,0,1.0
26,Train 26: The currency of Japan is,Yen,entity_completion,train,0,1.0
27,Train 27: The chemical symbol for gold is,Au,science_fact,train,0,1.0
28,Train 28: The author of Hamlet is,Shakespeare,literature_fact,train,0,1.0
29,Train 29: The default HTTPS port is,443,technology_fact,train,0,1.0
30,Train 30: The DNS protocol primarily uses,UDP,technology_fact,train,0,1.0
31,Train 31: The headquarters of Microsoft is in,Redmond,company_fact,train,0,1.0
32,Train 32: The largest planet in the solar system is,Jupiter,science_fact,train,0,1.0
33,Train 33: The capital of France is,Paris,factual_cloze,train,0,1.0
34,Train 34: The currency of Japan is,Yen,entity_completion,train,0,1.0
35,Train 35: The chemical symbol for gold is,Au,science_fact,train,0,1.0
36,Train 36: The author of Hamlet is,Shakespeare,literature_fact,train,0,1.0
37,Train 37: The default HTTPS port is,443,technology_fact,train,0,1.0
38,Train 38: The DNS protocol primarily uses,UDP,technology_fact,train,0,1.0
39,Train 39: The headquarters of Microsoft is in,Redmond,company_fact,train,0,1.0
40,Train 40: The largest planet in the solar system is,Jupiter,science_fact,train,0,1.0
41,Train 41: The capital of France is,Paris,factual_cloze,train,1,1.5
42,Train 42: The currency of Japan is,Yen,entity_completion,train,0,1.0
43,Train 43: The chemical symbol for gold is,Au,science_fact,train,0,1.0
44,Train 44: The author of Hamlet is,Shakespeare,literature_fact,train,0,1.0
