sample_id,prompt,target,curriculum_score,pcrf_weight,criticality_weight,combined_weight,sampling_bucket
124,Extract the user role (admin/editor/viewer) from this permission string: 'Has root level execution privileges and can drop databases globally' as JSON: { 'role':,admin,0.008906,0.061033,2.0,0.001087,HIGH_PRIORITY
45,Extract the user role (admin/editor/viewer) from this permission string: 'Authorized to save draft adjustments but lacks user admin panel rights' as JSON: { 'role':,editor,0.008647,0.061033,1.0,0.000528,HIGH_PRIORITY
125,Extract the user role (admin/editor/viewer) from this permission string: 'Authorized to save update parameters but lacks security group rights' as JSON: { 'role':,editor,0.008589,0.061033,1.0,0.000524,HIGH_PRIORITY
44,Extract the user role (admin/editor/viewer) from this permission string: 'Has root level execution privileges and can delete files globally' as JSON: { 'role':,admin,0.008573,0.061033,2.0,0.001046,HIGH_PRIORITY
130,Extract the user role (admin/editor/viewer) from this permission string: 'Authorized to manage role adjustments and drop schemas' as JSON: { 'role':,admin,0.008563,0.061033,1.5,0.000784,HIGH_PRIORITY
42,Extract the user role (admin/editor/viewer) from this permission string: 'Can modify files and edit existing document drafts' as JSON: { 'role':,editor,0.008561,0.061033,1.0,0.000522,HIGH_PRIORITY
50,Extract the user role (admin/editor/viewer) from this permission string: 'Authorized to adjust user access directories and assign privileges' as JSON: { 'role':,admin,0.008547,0.061033,1.5,0.000782,HIGH_PRIORITY
53,Extract the user role (admin/editor/viewer) from this permission string: 'Has complete system owner role across all domain cabinets' as JSON: { 'role':,admin,0.008511,0.061033,1.5,0.000779,HIGH_PRIORITY
127,Extract the user role (admin/editor/viewer) from this permission string: 'Can create billing credentials and modify DNS configurations' as JSON: { 'role':,admin,0.008446,0.061033,1.5,0.000773,HIGH_PRIORITY
51,Extract the user role (admin/editor/viewer) from this permission string: 'Allowed to edit configuration templates and update baseline files' as JSON: { 'role':,editor,0.008424,0.061033,1.0,0.000514,HIGH_PRIORITY
121,"Extract the user role (admin/editor/viewer) from this permission string: 'Can assign groups, modify profiles, and manage directory servers' as JSON: { 'role':",admin,0.008423,0.061033,1.5,0.000771,HIGH_PRIORITY
59,Extract the user role (admin/editor/viewer) from this permission string: 'Has absolute root credentials on target cloud containers' as JSON: { 'role':,admin,0.008407,0.061033,1.5,0.000770,HIGH_PRIORITY
128,Extract the user role (admin/editor/viewer) from this permission string: 'Can submit content reviews and update documentation databases' as JSON: { 'role':,editor,0.008381,0.061033,1.0,0.000512,HIGH_PRIORITY
47,Extract the user role (admin/editor/viewer) from this permission string: 'Can create billing credentials and modify system configurations' as JSON: { 'role':,admin,0.008378,0.061033,1.5,0.000767,HIGH_PRIORITY
41,"Extract the user role (admin/editor/viewer) from this permission string: 'Can assign groups, modify profiles, and manage system administrators' as JSON: { 'role':",admin,0.008321,0.061033,1.5,0.000762,HIGH_PRIORITY
48,Extract the user role (admin/editor/viewer) from this permission string: 'Can submit content reviews and update documentation files' as JSON: { 'role':,editor,0.008290,0.061033,1.0,0.000506,HIGH_PRIORITY
57,Extract the user role (admin/editor/viewer) from this permission string: 'Allowed to adjust metadata keywords on uploaded videos' as JSON: { 'role':,editor,0.008269,0.061033,1.0,0.000505,HIGH_PRIORITY
122,Extract the user role (admin/editor/viewer) from this permission string: 'Can modify configuration files and edit draft stylesheets' as JSON: { 'role':,editor,0.008259,0.061033,1.0,0.000504,HIGH_PRIORITY
60,Extract the user role (admin/editor/viewer) from this permission string: 'Can write updates to wiki documentation articles' as JSON: { 'role':,editor,0.008191,0.061033,1.0,0.000500,HIGH_PRIORITY
56,Extract the user role (admin/editor/viewer) from this permission string: 'Can establish database clusters and adjust primary host configs' as JSON: { 'role':,admin,0.008169,0.061033,1.5,0.000748,HIGH_PRIORITY
54,Extract the user role (admin/editor/viewer) from this permission string: 'Can write new blog articles and modify published copy' as JSON: { 'role':,editor,0.008123,0.061033,1.0,0.000496,HIGH_PRIORITY
43,Extract the user role (admin/editor/viewer) from this permission string: 'Can read audit logs and browse directory indices but cannot write changes' as JSON: { 'role':,viewer,0.008099,0.061033,1.0,0.000494,HIGH_PRIORITY
94,To accept the negative consequences of your previous incorrect actions is to face the,music,0.008087,0.061033,1.0,0.000494,HIGH_PRIORITY
123,Extract the user role (admin/editor/viewer) from this permission string: 'Can read application logs and browse metric dashboards' as JSON: { 'role':,viewer,0.008020,0.061033,1.0,0.000489,HIGH_PRIORITY
131,Extract the transaction status (approved/declined) from this gateway log: 'Stripe gateway logs: payment processed successfully for client 4015' as JSON: { 'status':,approved,0.007966,0.061033,1.0,0.000486,HIGH_PRIORITY
61,Extract the transaction status (approved/declined) from this gateway log: 'Stripe gateway logs: payment processed successfully for client 1012' as JSON: { 'status':,approved,0.007960,0.061033,1.0,0.000486,HIGH_PRIORITY
126,Extract the user role (admin/editor/viewer) from this permission string: 'Can view server connection status metrics but has no edit rights' as JSON: { 'role':,viewer,0.007951,0.061033,1.0,0.000485,HIGH_PRIORITY
58,Extract the user role (admin/editor/viewer) from this permission string: 'Can download static file attachment assets' as JSON: { 'role':,viewer,0.007921,0.061033,1.0,0.000483,HIGH_PRIORITY
129,Extract the user role (admin/editor/viewer) from this permission string: 'Can observe network throughput metrics but cannot change server ports' as JSON: { 'role':,viewer,0.007913,0.061033,1.0,0.000483,HIGH_PRIORITY
46,Extract the user role (admin/editor/viewer) from this permission string: 'Can browse metric dashboard views but lacks edit rights' as JSON: { 'role':,viewer,0.007877,0.061033,1.0,0.000481,HIGH_PRIORITY
52,Extract the user role (admin/editor/viewer) from this permission string: 'Can view transaction history records but cannot trigger refunds' as JSON: { 'role':,viewer,0.007849,0.061033,1.0,0.000479,HIGH_PRIORITY
55,Extract the user role (admin/editor/viewer) from this permission string: 'Can inspect user profile details but cannot alter names' as JSON: { 'role':,viewer,0.007846,0.061033,1.0,0.000479,HIGH_PRIORITY
49,Extract the user role (admin/editor/viewer) from this permission string: 'Can observe network throughput metrics but cannot change port bindings' as JSON: { 'role':,viewer,0.007722,0.061033,1.0,0.000471,HIGH_PRIORITY
137,Extract the transaction status (approved/declined) from this gateway log: 'Adyen gateway logs: transaction approved successfully' as JSON: { 'status':,approved,0.007694,0.061033,1.0,0.000470,HIGH_PRIORITY
77,"Extract the transaction status (approved/declined) from this gateway log: 'Adyen gateway logs: funds captured, invoice archived' as JSON: { 'status':",approved,0.007424,0.061033,1.0,0.000453,HIGH_PRIORITY
68,"Extract the transaction status (approved/declined) from this gateway log: 'PayPal gateway logs: payment authorized, pending capture' as JSON: { 'status':",approved,0.007325,0.061033,1.0,0.000447,HIGH_PRIORITY
79,Extract the transaction status (approved/declined) from this gateway log: 'Braintree gateway logs: merchant manual override applied' as JSON: { 'status':,approved,0.007283,0.061033,1.0,0.000444,HIGH_PRIORITY
73,Extract the transaction status (approved/declined) from this gateway log: 'PayPal gateway logs: payment completed successfully' as JSON: { 'status':,approved,0.007262,0.061033,1.0,0.000443,HIGH_PRIORITY
173,The structured query language command used to alter existing database rows is,UPDATE,0.007252,0.061033,1.0,0.000443,HIGH_PRIORITY
64,"Extract the transaction status (approved/declined) from this gateway log: 'Braintree gateway logs: auth success, funds capture complete' as JSON: { 'status':",approved,0.007250,0.061033,1.5,0.000664,HIGH_PRIORITY
134,"Extract the transaction status (approved/declined) from this gateway log: 'Braintree gateway logs: auth verified, batch capture success' as JSON: { 'status':",approved,0.007202,0.061033,1.5,0.000659,HIGH_PRIORITY
75,"Extract the transaction status (approved/declined) from this gateway log: 'Authorize.Net gateway logs: token validated, clearance complete' as JSON: { 'status':",approved,0.007176,0.061033,1.5,0.000657,HIGH_PRIORITY
167,The fast volatile memory layer loaded during active task runtime is,RAM,0.007100,0.061033,1.0,0.000433,HIGH_PRIORITY
66,"Extract the transaction status (approved/declined) from this gateway log: 'Stripe gateway logs: verification code checked, order complete' as JSON: { 'status':",approved,0.007089,0.061033,1.0,0.000433,HIGH_PRIORITY
139,Extract the transaction status (approved/declined) from this gateway log: 'Braintree gateway logs: valid auth code returned' as JSON: { 'status':,approved,0.006968,0.061033,1.0,0.000425,HIGH_PRIORITY
70,Extract the transaction status (approved/declined) from this gateway log: 'Authorize.Net gateway logs: digital wallet authenticated' as JSON: { 'status':,approved,0.006957,0.061033,1.0,0.000425,HIGH_PRIORITY
197,The software development tools bundle provided to programmers is an,SDK,0.006810,0.061033,1.0,0.000416,HIGH_PRIORITY
168,The non-volatile chip storing fundamental startup firmware instructions is,ROM,0.006661,0.061033,1.0,0.000407,HIGH_PRIORITY
