id,prompt,target,nll,priority_score
48,A prompt intervention that avoids future trouble is said to save,nine,18.94000244140625,18.95236426638631
25,The chemical element with atomic number 79 is,Gold,18.409250259399414,18.421265671246633
39,A chemical substance with a pH value above 7 is a,Base,18.138038635253906,18.149877031779155
76,"In binary tree structures, any node that has no child elements is a",leaf,16.842981338500977,16.853974472640907
46,To achieve two tasks simultaneously is to kill two birds with one,stone,16.837169647216797,16.848158988162364
73,The relational database command used to extract specific rows is,SELECT,16.154457092285156,16.165000838086694
57,Great achievements require time and patience; Rome wasn't built in a,day,16.10610008239746,16.116612266381907
50,An optimistic outlook suggests that every cloud has a silver,lining,16.00193214416504,16.01237633946654
56,Regular training and execution leads to excellence; practice makes,perfect,15.686471939086914,15.696710238752688
36,The basic structural unit of all life is the,Cell,15.559303283691406,15.56945858248821
55,Too much inquisitiveness can lead to danger; curiosity killed the,cat,15.422713279724121,15.43277942849424
29,The red planet in our solar system is,Mars,15.415287017822266,15.4253483195946
42,The character Sherlock Holmes was created by Arthur Conan,Doyle,14.965019226074219,14.974786645538302
49,People who make threats rarely carry them out; barking dogs seldom,bite,14.405304908752441,14.414707011979054
77,The specific syntax keyword used to declare a blueprint class in Python is,class,14.37883472442627,14.38821955100327
66,The main memory chips used for rapid runtime storage form the,RAM,14.266569137573242,14.275880690266554
78,The specific syntax keyword used to declare a runtime function in Python is,def,14.216655731201172,14.225934706243258
15,The capital of Argentina is Buenos,Aires,14.007006645202637,14.016148785768785
54,"When visiting a foreign place, adapt to local customs: when in Rome, do as the Romans",do,13.724211692810059,13.733169257808303
52,A healthy habit is described by saying an apple a day keeps the doctor,away,13.580354690551758,13.589218362474245
60,"To execute custom isolated programs, operating systems launch a",process,13.513623237609863,13.522443355021496
65,The base-2 numerical representation system is called,binary,13.362264633178711,13.370985961343457
53,It is preferable to arrive or finish late than not at all; better late than,never,13.183685302734375,13.192290075136532
67,The primary processing unit of a microcomputer is the,CPU,13.158697128295898,13.167285591331678
0,The capital of France is,Paris,12.991776466369629,13.000255983062099
9,The capital of Russia is,Moscow,12.6841459274292,12.69242465877897
32,Light from the sun takes about eight minutes to reach,Earth,12.519242286682129,12.527413388164808
11,The capital of England is,London,12.451942443847656,12.460069619840839
59,"Determination will overcome any obstacle; where there is a will, there is a",way,12.253912925720215,12.261910851136395
79,An algorithm's runtime complexity is characterized using Big O,notation,11.835572242736816,11.843297124138294
58,Written arguments are more powerful than military force; the pen is mightier than the,sword,11.229799270629883,11.237128774074996
51,Tangible deeds are more meaningful than promises; actions speak louder than,words,11.180538177490234,11.187835529038134
41,The dystopian novel Nineteen Eighty-Four was written by George,Orwell,11.095826148986816,11.103068210400869
43,The legendary high-fantasy novel The Hobbit was written by J.R.R.,Tolkien,10.357050895690918,10.36381077076898
61,"In deep neural networks, weights are updated using gradient",descent,10.181493759155273,10.188139051006509
72,The version control command used to save changes to the local repository is git,commit,10.080493927001953,10.087073297940456
14,The capital of Mexico is Mexico,City,9.897137641906738,9.903597339243701
